row_number,current_label,recommended_label,issue,text
2,technology,business,"Semiconductor shortage affecting automakers is primarily a supply-chain/business story.","Global semiconductor shortage worsens; automakers halt production as chip prices surge."
4,technology,business,"Startup funding is primarily a company financing/business event unless the technology is the main subject.","Startups secure $500M in funding for green energy tech, fueled by climate tech investor interest."
7,technology,business,"Tax incentive for manufacturing is industrial policy/business unless the technology itself is central.","Government proposes $2B tax incentive for semiconductor manufacturing in domestic markets."
9,technology,business,"Infrastructure funding is closer to business/public investment than a technology event.","Electric vehicle charging infrastructure funding approved in major urban hubs."
10,technology,finance,"Tech-stock rally driven by inflation data is a market/finance story.","Tech stocks rally as inflation data sparks optimism in tech sector resilience."
11,technology,needs_review,"Uses placeholder entity and could be technology or business depending on article details.","Company X partners with AI startup to develop personalized education platforms."
12,technology,finance,"Cryptocurrency market capitalization and institutional adoption are finance/market signals.","Cryptocurrency market cap hits $2T amid growing institutional adoption."
15,technology,business,"Revenue growth is a company/business performance event, even for a cloud provider.","Cloud service provider reports 20% revenue growth driven by hybrid work solutions."
16,technology,finance,"Overvaluation is a market/finance framing.","Analysts warn of overvaluation in metaverse tech firms despite user growth."
18,technology,finance,"Digital payment transaction volume is financial infrastructure/finance unless framed as product technology.","India’s digital payment transactions cross $1T monthly milestone."
21,technology,business,"Venture capital funding is primarily business unless the product/technology is the story.","Renewable energy tech startup secures record venture capital funding."
25,technology,business,"Startup valuation after funding is primarily business.","Cybersecurity startup valued at $12B in latest funding round."
29,technology,technology,"Keep, but check whether FDA approval should be health/business if the article focuses on regulation or company impact.","Healthtech firm wins FDA approval for AI-driven diagnostic tool."
31,finance,finance,"Keep finance; check wording because prolonged rate cuts may conflict with the intended macro scenario.","Global markets brace for volatility as US Fed signals prolonged rate cuts"
34,finance,finance,"Keep finance; file is valid UTF-8, but some terminals may display the rupee symbol incorrectly.","GST collection crosses ₹1.9 lakh crore mark in February 2024"
35,finance,business,"Corporate investment in a startup is primarily business unless the financing instrument is the main subject.","Reliance Jio announces ₹20,000 crore investment in AI-driven fintech startup"
38,finance,business,"Company green bond issuance could be finance, but this headline emphasizes EV manufacturing funding by a company; review taxonomy rule.","Tata Motors launches green bonds to fund ₹10,000 crore EV manufacturing"
39,finance,needs_review,"DCCI is unclear; verify entity or replace the example.","Gold prices dip as DCCI revises inflation forecast downward"
40,finance,business,"Company revenue growth and earnings beat are business performance.","Zomato reports 45% YoY revenue growth in Q4, beats estimates"
43,finance,business,"Corporate funding from investors is business unless framed as debt/equity market issuance.","Adani Group secures $2.5 billion green energy funding from global investors"
45,finance,business,"Infrastructure contract award is business/public procurement rather than finance.","L&T wins ₹50,000 crore infrastructure contract from Centre"
47,finance,technology,"Blockchain ticketing system is a technology/product implementation story.","IRCTC launches blockchain-based ticketing system to curb fraud"
49,finance,business,"UPI transaction growth by Paytm is company/business performance unless focused on payment-system metrics.","Paytm reports 200% growth in UPI transactions YoY"
50,finance,business,"Manufacturing expansion is business/corporate investment.","Tata Steel announces ₹15,000 crore expansion in Maharashtra"
52,finance,technology,"AI-powered credit scoring is a fintech technology/product story unless framed as lending performance.","SBI launches AI-powered credit scoring for MSMEs"
56,finance,business,"Corporate bond issuance can be finance, but the issuer/project framing makes this a review case.","Mahindra & Mahindra raises ₹4,000 crore via green bonds"
57,finance,business,"Public infrastructure allocation is closer to business/economy than finance unless budget accounting is the focus.","Railway Ministry allocates ₹1.2 lakh crore for metro projects"
58,finance,finance,"Keep finance if crypto is treated as an asset/market; avoid labeling similar crypto-market rows as technology.","Cryptocurrency exchanges report 300% user growth post-regulatory clarity"
60,business,needs_review,"Uses placeholder entities; replace with real example or remove.","Tech giant XYZ announces $5 billion merger with rival firm ABC, creating industry leader."
61,business,business,"Keep business, but this overlaps technology; label by sector growth rather than product technology.","Analysts predict tech sector to grow 8% in 2024 despite inflation concerns."
62,business,finance,"Stock-market rally after GDP data is finance.","Stock markets rally after positive GDP data, tech stocks lead gains."
63,business,needs_review,"Uses placeholder entity ABC; replace with real example or remove.","Global retailer ABC posts record Q3 profits, shares surge 12%."
66,business,finance,"Oil price volatility is usually commodities/finance unless framed as company operations.","Oil prices volatile as OPEC+ considers output cuts amid geopolitical tensions."
67,business,business,"Keep business, but standardize wording: 'Startup unicorn raising' is grammatically incomplete.","Startup unicorn raising $300M in Series D funding at $2.5B valuation."
70,business,business,"Keep business, but wording is awkward: 'Pharma company FDA-approved breakthrough drug'.","Pharma company FDA-approved breakthrough drug, shares jump 18%."
71,business,finance,"Central bank rate move and mortgage rates are finance.","Central bank raises interest rates by 50 bps, lenders adjust mortgage rates."
73,business,finance,"Crypto market stabilization and SEC regulation are finance/market topics.","Cryptocurrency market stabilizes after SEC announces clearer regulatory framework."
78,business,finance,"Banking-sector profits could be business, but tighter lending standards make this finance-heavy; review taxonomy rule.","Banking sector profits dip 3% YoY amid tighter lending standards."
80,business,finance,"Airline stock movement is finance unless the article focuses on airline operations.","Airline stocks plummet over 7% after new carbon tax proposal."
81,business,technology,"AI-powered inventory management is a technology/product implementation story.","Retail giant launches AI-powered inventory management system."
82,business,finance,"FDI inflows are macro/finance.","Emerging markets attract record FDI inflows in 2023."
85,business,technology,"Metaverse virtual storefront partnership is primarily technology/product-channel news unless business deal terms dominate.","Metaverse platform partners with luxury fashion house for virtual storefronts."
88,business,finance,"IPO fundraising is capital markets/finance.","Cybersecurity firm IPO oversubscribed within hours, raises $1.8B."
