text,label
"Tech giant announces breakthrough in quantum computing, promising 100x faster processing speeds.",technology
Global semiconductor shortage worsens; automakers halt production as chip prices surge.,technology
Analysts predict 30% surge in AI adoption across healthcare and logistics sectors by 2025.,technology
"Startups secure $500M in funding for green energy tech, fueled by climate tech investor interest.",technology
E-commerce platform launches AI-powered delivery drones in Southeast Asia trials.,technology
Cybersecurity firm reports record 400% spike in ransomware attacks targeting healthcare systems.,technology
Government proposes $2B tax incentive for semiconductor manufacturing in domestic markets.,technology
Social media giant faces backlash over algorithmic content moderation transparency issues.,technology
Electric vehicle charging infrastructure funding approved in major urban hubs.,technology
Tech stocks rally as inflation data sparks optimism in tech sector resilience.,technology
Company X partners with AI startup to develop personalized education platforms.,technology
Cryptocurrency market cap hits $2T amid growing institutional adoption.,technology
Smartphone manufacturer unveils foldable device with 2-day battery life.,technology
"EU passes stringent AI regulation, mandating transparency in generative AI tools.",technology
Cloud service provider reports 20% revenue growth driven by hybrid work solutions.,technology
Analysts warn of overvaluation in metaverse tech firms despite user growth.,technology
Tech conference cancels in-person events due to geopolitical tensions.,technology
India’s digital payment transactions cross $1T monthly milestone.,technology
Robotic process automation tools adopted by 60% of Fortune 500 companies.,technology
New data privacy law sparks compliance challenges for global tech firms.,technology
Renewable energy tech startup secures record venture capital funding.,technology
Smart home device recall issued over security vulnerability concerns.,technology
Tech leaders call for global AI ethics framework at G7 summit.,technology
Market researchers predict 5G expansion to cover 80% of urban areas by 2024.,technology
Cybersecurity startup valued at $12B in latest funding round.,technology
Gaming console sales plummet as developers shift focus to mobile platforms.,technology
Blockchain platform launches carbon credit tracking system for corporations.,technology
Tech employees protest workplace AI integration over job displacement fears.,technology
Healthtech firm wins FDA approval for AI-driven diagnostic tool.,technology
RBI keeps repo rate unchanged at 6.5% amid easing inflation,finance
Sensex hits record high as IT stocks rally post-strong quarterly earnings,finance
Global markets brace for volatility as US Fed signals prolonged rate cuts,finance
HDFC and ICICI Bank merge wealth management divisions in strategic move,finance
GST collection crosses ₹1.9 lakh crore mark in February 2024,finance
"Reliance Jio announces ₹20,000 crore investment in AI-driven fintech startup",finance
"Crypto market surges as Bitcoin nears $70,000 after SEC approves spot ETFs",finance
Analysts predict 12% GDP growth for India in FY25 despite global slowdown,finance
"Tata Motors launches green bonds to fund ₹10,000 crore EV manufacturing",finance
Gold prices dip as DCCI revises inflation forecast downward,finance
"Zomato reports 45% YoY revenue growth in Q4, beats estimates",finance
India's forex reserves rise to $650 billion despite global headwinds,finance
SEBI tightens rules for algorithmic trading to curb market manipulation,finance
Adani Group secures $2.5 billion green energy funding from global investors,finance
Rupee strengthens to 83.25/USD on stable FDI inflows,finance
"L&T wins ₹50,000 crore infrastructure contract from Centre",finance
Analysts warn of overvaluation in mid-cap stocks despite recent rally,finance
IRCTC launches blockchain-based ticketing system to curb fraud,finance
Global oil prices drop 4% on geopolitical tensions easing,finance
Paytm reports 200% growth in UPI transactions YoY,finance
"Tata Steel announces ₹15,000 crore expansion in Maharashtra",finance
Nifty 50 gains 2% as FIIs return to Indian equity markets,finance
SBI launches AI-powered credit scoring for MSMEs,finance
India's fiscal deficit narrows to 5.8% of GDP in FY24,finance
Pharma stocks plunge 7% on US FDA regulatory changes,finance
Goldman Sachs predicts INR as top Asian currency for 2025,finance
"Mahindra & Mahindra raises ₹4,000 crore via green bonds",finance
Railway Ministry allocates ₹1.2 lakh crore for metro projects,finance
Cryptocurrency exchanges report 300% user growth post-regulatory clarity,finance
HDFC Bank revises home loan interest rates downward by 0.25%,finance
"Tech giant XYZ announces $5 billion merger with rival firm ABC, creating industry leader.",business
Analysts predict tech sector to grow 8% in 2024 despite inflation concerns.,business
"Stock markets rally after positive GDP data, tech stocks lead gains.",business
"Global retailer ABC posts record Q3 profits, shares surge 12%.",business
"New tax reforms pass, corporations face higher levies on overseas earnings.",business
Oil prices volatile as OPEC+ considers output cuts amid geopolitical tensions.,business
Startup unicorn raising $300M in Series D funding at $2.5B valuation.,business
"Labor strikes hit automotive sector, threatening Q4 production targets.",business
"Consumer confidence rebounds in Q3, signaling stronger holiday spending outlook.",business
"Pharma company FDA-approved breakthrough drug, shares jump 18%.",business
"Central bank raises interest rates by 50 bps, lenders adjust mortgage rates.",business
E-commerce giant invests $1B in logistics infrastructure expansion.,business
Cryptocurrency market stabilizes after SEC announces clearer regulatory framework.,business
"Automaker announces EV battery plant in Mexico, creating 5,000 jobs.",business
"Global supply chain bottlenecks ease, manufacturing PMI hits 18-month high.",business
Banking sector profits dip 3% YoY amid tighter lending standards.,business
Sustainable fashion brand secures $50M venture capital round.,business
Airline stocks plummet over 7% after new carbon tax proposal.,business
Retail giant launches AI-powered inventory management system.,business
Emerging markets attract record FDI inflows in 2023.,business
Healthcare conglomerate acquires telemedicine startup for $1.2B.,business
Coffee chain reports slowest quarterly growth since 2019.,business
Government approves $2B green energy infrastructure subsidy program.,business
Metaverse platform partners with luxury fashion house for virtual storefronts.,business
Coffee giant raises prices 10% amid rising green bean costs.,business
"Cybersecurity firm IPO oversubscribed within hours, raises $1.8B.",business
Global trade tensions escalate as steel tariffs take effect.,business
Streaming service reports first profit despite fierce competition.,business
"Construction sector faces labor shortage, delays major projects.",business
"Chipmaker unveils faster AI accelerator for data center workloads.",technology
"Open-source database project releases major update with vector search support.",technology
"Cybersecurity researchers disclose critical vulnerability in popular VPN software.",technology
"Cloud provider launches serverless platform for real-time video processing.",technology
"Smartphone brand introduces satellite messaging for emergency communication.",technology
"Researchers develop battery material that extends electric vehicle range.",technology
"Software company adds generative AI assistant to developer tools.",technology
"Telecom operator completes standalone 5G core network deployment.",technology
"Robotics startup tests autonomous warehouse picking system.",technology
"Browser vendor patches zero-day exploit used in phishing campaigns.",technology
"University lab demonstrates quantum error correction milestone.",technology
"Wearable device maker adds continuous glucose monitoring feature.",technology
"Data privacy regulator investigates facial recognition app over consent failures.",technology
"Cloud security platform detects surge in credential-stuffing attacks.",technology
"Semiconductor firm begins production of three-nanometer mobile processors.",technology
"Electric vehicle maker rolls out over-the-air battery management update.",technology
"AI chip startup benchmarks new inference engine for edge devices.",technology
"Search company upgrades translation model for low-resource languages.",technology
"Hospital network deploys machine-learning tool for radiology triage.",technology
"Satellite internet provider launches low-latency service for remote regions.",technology
"Software vendor fixes authentication flaw in enterprise collaboration suite.",technology
"Augmented reality headset adds hand-tracking support for industrial training.",technology
"Blockchain protocol launches faster settlement layer for decentralized apps.",technology
"Computer vision system improves quality checks on manufacturing lines.",technology
"Cloud storage service introduces end-to-end encrypted team folders.",technology
"Autonomous vehicle company expands road testing after sensor upgrade.",technology
"Researchers build biodegradable sensor for environmental monitoring.",technology
"Enterprise IT teams accelerate migration to passwordless authentication.",technology
"Drone maker releases thermal imaging model for disaster response teams.",technology
"AI safety researchers publish benchmark for detecting hallucinated answers.",technology
"Central bank leaves benchmark interest rate unchanged after inflation cools.",finance
"Bond yields climb as investors price in delayed rate cuts.",finance
"Currency traders sell the euro after weak manufacturing data.",finance
"Index funds record strong inflows during monthly portfolio rebalancing.",finance
"Mortgage rates fall to six-month low as treasury yields retreat.",finance
"Insurance stocks rise after regulator approves premium increases.",finance
"Pension fund increases allocation to short-term government securities.",finance
"Commodities traders lift copper futures on stronger factory demand.",finance
"Banking regulator raises capital buffer requirements for large lenders.",finance
"Credit card delinquency rates edge higher among subprime borrowers.",finance
"Mutual fund assets reach record high after retail investor inflows.",finance
"Foreign exchange reserves increase as central bank buys dollars.",finance
"Private equity exits slow as higher borrowing costs weigh on valuations.",finance
"Gold futures gain as investors seek protection from market volatility.",finance
"Corporate bond spreads widen after weaker earnings guidance.",finance
"Hedge funds reduce exposure to small-cap equities.",finance
"Treasury auction draws strong demand from overseas investors.",finance
"Digital asset funds post weekly outflows after bitcoin price decline.",finance
"Analysts cut bank profit forecasts as net interest margins narrow.",finance
"Payment network reports higher transaction volume during holiday spending.",finance
"Rating agency downgrades retailer debt over refinancing risk.",finance
"Emerging-market currencies rally after dollar index weakens.",finance
"Brokerages raise margin requirements for volatile derivative contracts.",finance
"Municipal bond issuance rises as cities refinance older debt.",finance
"Central bank governor warns inflation expectations remain above target.",finance
"Exchange operator expands surveillance rules for high-frequency trading.",finance
"Wealth managers shift client portfolios toward fixed-income products.",finance
"Oil futures settle lower after inventory data shows rising supply.",finance
"Financial regulator fines brokerage for inadequate risk disclosures.",finance
"Home loan approvals increase as lenders reduce borrowing rates.",finance
"Retail chain opens 200 new stores after strong holiday sales.",business
"Automaker signs long-term supply agreement with battery manufacturer.",business
"Airline adds international routes to capture rising travel demand.",business
"Food delivery company expands grocery service into suburban markets.",business
"Pharmaceutical manufacturer increases production capacity at new plant.",business
"Logistics firm acquires regional courier network to speed deliveries.",business
"Consumer goods company raises annual outlook after margin improvement.",business
"Hotel group reports higher occupancy as conference bookings recover.",business
"Factory output rises after suppliers resolve raw material delays.",business
"Streaming platform bundles sports package to reduce subscriber churn.",business
"Restaurant operator tests smaller store format in urban neighborhoods.",business
"Construction materials supplier wins contract for airport expansion.",business
"E-commerce marketplace adds fulfillment centers ahead of festival season.",business
"Retailers discount inventory after slower-than-expected spring sales.",business
"Media company restructures advertising division to cut operating costs.",business
"Healthcare provider acquires urgent-care clinics in three states.",business
"Automotive supplier shifts production to Mexico to lower costs.",business
"Luxury brand reports strong demand from younger shoppers.",business
"Agribusiness exporter signs wheat shipment deal with overseas buyers.",business
"Manufacturing group delays expansion because of skilled labor shortages.",business
"Telecom company sells tower assets to reduce debt.",business
"Coffee chain launches value menu after customer traffic declines.",business
"Shipping company raises freight rates on trans-Pacific routes.",business
"Toy maker reports strong orders for movie-themed merchandise.",business
"Energy company partners with manufacturer to build solar panel factory.",business
"Consulting firm cuts staff after clients delay transformation projects.",business
"Supermarket chain invests in private-label products to protect margins.",business
"Packaging company closes underused facility after demand slowdown.",business
"Car rental company expands electric fleet for corporate customers.",business
"Steel producer restarts blast furnace after maintenance shutdown.",business
"AI processor maker releases low-power chip for smart cameras.",technology
"Enterprise software platform adds automated code review for developers.",technology
"Cybersecurity team blocks malware campaign targeting hospital networks.",technology
"Telecom equipment vendor tests open radio access network gear.",technology
"Laptop manufacturer introduces repairable model with modular components.",technology
"Cloud analytics service adds real-time anomaly detection for engineers.",technology
"Researchers improve solar cell efficiency using perovskite coating.",technology
"Password manager rolls out passkey sharing for family accounts.",technology
"Mapping app launches offline navigation powered by satellite data.",technology
"Industrial robot gains vision system for precision assembly lines.",technology
"Game studio adopts cloud rendering technology for multiplayer worlds.",technology
"Central bank cuts policy rate after inflation falls below target.",finance
"Stock index closes lower as investors rotate out of growth shares.",finance
"Commercial banks tighten credit standards for small business loans.",finance
"Sovereign bond prices rise after weaker employment data.",finance
"Asset managers increase cash holdings before central bank meeting.",finance
"Currency markets stabilize as dollar demand eases.",finance
"Mortgage lender reports higher refinancing applications after rate drop.",finance
